노선ID,버스노선명
11110372,N62번(면목동차고지~양천공영차고지)
11110066,651번(방화동~관악구청)
11110812,6648(방화동~양천구청)
11110270,6514번(양천공영차고지~서울대)
11110276,6617번(양천차고지~목동우성아파트)
11110371,N62번(양천공영차고지~면목동차고지)
11110988,6657번(강서한강자이아파트~양천공영차고지)
11110910,6614(양천공영차고지~부천옥길지구)
11110967,6716번(양천공영차고지~이대입구)
11110059,604번(신월동~중구청)
11110061,606번(부천상동~종로1가)
11110349,653(외발산동~가산디지털단지역)
11110385,674번(신월동기점~연세대)
11110980,652번(신월동~금천우체국)
41110067,673번(상동기점~이대부고)
41110211,"661번(부천상동~영등포역,신세계백화점)"
11110233,5012번(가산동~용산역)
11110065,650번(외발산동~서울대입구)
11110287,6628번(외발산동~여의도)
11110359,662번(외발산동~여의나루역)
11110058,603번(신월동~시청)
11110062,640번(신월동~강남역)
11110266,6211번(신월동~상왕십리)
11110296,6715번(신월동~상암동)
11110903,6625번(문래동~화곡동)
11110905,6624번(신월동~이대목동병원)
11110265,5712번(가산동~홍대입구역)
11110057,602번(양천공용차고지~시청앞)
11110285,6627번(양천공영차고지~월촌중학교)
11110295,6714번(양천공영차고지~이대부고)
11110531,강서06(벽산아파트~수명산입구)
11110698,양천03(신정이펜하우스1단지~목동역)
